25/07/2024 10:51:23 - Iniciando processo de atualização.

25/07/2024 10:51:24 - Quantidade de cadastro(s): 335.

25/07/2024 10:51:25 - Conexão realizada com sucesso na base de dados: SBOPRODMR.

#25/07/2024 10:51:26 - #0º Parceiro de negocio: CL011329, atualizado com sucesso.
#25/07/2024 10:51:27 - #1º Parceiro de negocio: CL011878, atualizado com sucesso.
#25/07/2024 10:51:28 - #2º Parceiro de negocio: CL012835, atualizado com sucesso.
#25/07/2024 10:51:29 - #3º Parceiro de negocio: CL012862, atualizado com sucesso.
#25/07/2024 10:51:30 - #4º Parceiro de negocio: CL012934, atualizado com sucesso.
#25/07/2024 10:51:31 - #5º Parceiro de negocio: CL012935, atualizado com sucesso.
#25/07/2024 10:51:32 - #6º Parceiro de negocio: CL013066, atualizado com sucesso.
#25/07/2024 10:51:33 - #7º Parceiro de negocio: CL013143, atualizado com sucesso.
#25/07/2024 10:51:34 - #8º Parceiro de negocio: CL013313, atualizado com sucesso.
#25/07/2024 10:51:35 - #9º Parceiro de negocio: CL013334, atualizado com sucesso.
#25/07/2024 10:51:36 - #10º Parceiro de negocio: CL013756, atualizado com sucesso.
#25/07/2024 10:51:37 - #11º Parceiro de negocio: CL013780, atualizado com sucesso.
#25/07/2024 10:51:37 - #12º Parceiro de negocio: CL013911, atualizado com sucesso.
#25/07/2024 10:51:38 - #13º Parceiro de negocio: CL013930, atualizado com sucesso.
#25/07/2024 10:51:39 - #14º Parceiro de negocio: CL014041, atualizado com sucesso.
#25/07/2024 10:51:40 - #15º Parceiro de negocio: CL014129, atualizado com sucesso.
#25/07/2024 10:51:41 - #16º Parceiro de negocio: CL014161, atualizado com sucesso.
#25/07/2024 10:51:42 - #17º Parceiro de negocio: CL014334, atualizado com sucesso.
#25/07/2024 10:51:42 - #18º Parceiro de negocio: CL014354, atualizado com sucesso.
#25/07/2024 10:51:43 - #19º Parceiro de negocio: CL014355, atualizado com sucesso.
#25/07/2024 10:51:44 - #20º Parceiro de negocio: CL014499, atualizado com sucesso.
#25/07/2024 10:51:44 - #21º Parceiro de negocio: CL015300, atualizado com sucesso.
#25/07/2024 10:51:45 - #22º Parceiro de negocio: CL015364, atualizado com sucesso.
#25/07/2024 10:51:46 - #23º Parceiro de negocio: CL015675, atualizado com sucesso.
#25/07/2024 10:51:46 - #24º Parceiro de negocio: CL015680, atualizado com sucesso.
#25/07/2024 10:51:47 - #25º Parceiro de negocio: CL015686, atualizado com sucesso.
#25/07/2024 10:51:47 - #26º Parceiro de negocio: CL015774, atualizado com sucesso.
#25/07/2024 10:51:48 - #27º Parceiro de negocio: CL016444, atualizado com sucesso.
#25/07/2024 10:51:49 - #28º Parceiro de negocio: CL016446, atualizado com sucesso.
#25/07/2024 10:51:49 - #29º Parceiro de negocio: CL016837, atualizado com sucesso.
#25/07/2024 10:51:50 - #30º Parceiro de negocio: CL016840, atualizado com sucesso.
#25/07/2024 10:51:51 - #31º Parceiro de negocio: CL016841, atualizado com sucesso.
#25/07/2024 10:51:51 - #32º Parceiro de negocio: CL016985, atualizado com sucesso.
#25/07/2024 10:51:52 - #33º Parceiro de negocio: CL016991, atualizado com sucesso.
#25/07/2024 10:51:53 - #34º Parceiro de negocio: CL017168, atualizado com sucesso.
#25/07/2024 10:51:53 - #35º Parceiro de negocio: CL017170, atualizado com sucesso.
#25/07/2024 10:51:54 - #36º Parceiro de negocio: CL017438, atualizado com sucesso.
#25/07/2024 10:51:55 - #37º Parceiro de negocio: CL017608, atualizado com sucesso.
#25/07/2024 10:51:55 - #38º Parceiro de negocio: CL017835, atualizado com sucesso.
#25/07/2024 10:51:56 - #39º Parceiro de negocio: CL018300, atualizado com sucesso.
#25/07/2024 10:51:57 - #40º Parceiro de negocio: CL018409, atualizado com sucesso.
#25/07/2024 10:51:57 - #41º Parceiro de negocio: CL018571, atualizado com sucesso.
#25/07/2024 10:51:58 - #42º Parceiro de negocio: CL018751, atualizado com sucesso.
#25/07/2024 10:51:59 - #43º Parceiro de negocio: CL019001, atualizado com sucesso.
#25/07/2024 10:52:00 - #44º Parceiro de negocio: CL019201, atualizado com sucesso.
#25/07/2024 10:52:01 - #45º Parceiro de negocio: CL019266, atualizado com sucesso.
#25/07/2024 10:52:02 - #46º Parceiro de negocio: CL019268, atualizado com sucesso.
#25/07/2024 10:52:03 - #47º Parceiro de negocio: CL019477, atualizado com sucesso.
#25/07/2024 10:52:04 - #48º Parceiro de negocio: CL019510, atualizado com sucesso.
#25/07/2024 10:52:05 - #49º Parceiro de negocio: CL019511, atualizado com sucesso.
#25/07/2024 10:52:06 - #50º Parceiro de negocio: CL019784, atualizado com sucesso.
#25/07/2024 10:52:08 - #51º Parceiro de negocio: CL019824, atualizado com sucesso.
#25/07/2024 10:52:10 - #52º Parceiro de negocio: CL020301, atualizado com sucesso.
#25/07/2024 10:52:11 - #53º Parceiro de negocio: CL020409, atualizado com sucesso.
25/07/2024 10:52:11 - Erro: #54º - Entity with value('CL020644') does not exist
25/07/2024 10:52:11 - Erro: #54º - Entity with value('CL020644') does not exist
25/07/2024 10:52:11 - Erro: #55º - Entity with value('CL020916') does not exist
25/07/2024 10:52:11 - Erro: #55º - Entity with value('CL020916') does not exist
25/07/2024 10:52:11 - Erro: #56º - Entity with value('CL020921') does not exist
25/07/2024 10:52:11 - Erro: #56º - Entity with value('CL020921') does not exist
25/07/2024 10:52:11 - Erro: #57º - Entity with value('CL020923') does not exist
25/07/2024 10:52:11 - Erro: #57º - Entity with value('CL020923') does not exist
25/07/2024 10:52:11 - Erro: #58º - Entity with value('CL020927') does not exist
25/07/2024 10:52:11 - Erro: #58º - Entity with value('CL020927') does not exist
25/07/2024 10:52:11 - Erro: #59º - Entity with value('CL020933') does not exist
25/07/2024 10:52:11 - Erro: #59º - Entity with value('CL020933') does not exist
25/07/2024 10:52:11 - Erro: #60º - Entity with value('CL020937') does not exist
25/07/2024 10:52:11 - Erro: #60º - Entity with value('CL020937') does not exist
25/07/2024 10:52:11 - Erro: #61º - Entity with value('CL020939') does not exist
25/07/2024 10:52:11 - Erro: #61º - Entity with value('CL020939') does not exist
25/07/2024 10:52:12 - Erro: #62º - Entity with value('CL020943') does not exist
25/07/2024 10:52:12 - Erro: #62º - Entity with value('CL020943') does not exist
25/07/2024 10:52:12 - Erro: #63º - Entity with value('CL020946') does not exist
25/07/2024 10:52:12 - Erro: #63º - Entity with value('CL020946') does not exist
25/07/2024 10:52:12 - Erro: #64º - Entity with value('CL020956') does not exist
25/07/2024 10:52:12 - Erro: #64º - Entity with value('CL020956') does not exist
25/07/2024 10:52:12 - Erro: #65º - Entity with value('CL020957') does not exist
25/07/2024 10:52:12 - Erro: #65º - Entity with value('CL020957') does not exist
25/07/2024 10:52:12 - Erro: #66º - Entity with value('CL020958') does not exist
25/07/2024 10:52:12 - Erro: #66º - Entity with value('CL020958') does not exist
25/07/2024 10:52:12 - Erro: #67º - Entity with value('CL020960') does not exist
25/07/2024 10:52:12 - Erro: #67º - Entity with value('CL020960') does not exist
25/07/2024 10:52:12 - Erro: #68º - Entity with value('CL020963') does not exist
25/07/2024 10:52:12 - Erro: #68º - Entity with value('CL020963') does not exist
25/07/2024 10:52:12 - Erro: #69º - Entity with value('CL020965') does not exist
25/07/2024 10:52:12 - Erro: #69º - Entity with value('CL020965') does not exist
25/07/2024 10:52:12 - Erro: #70º - Entity with value('CL020969') does not exist
25/07/2024 10:52:12 - Erro: #70º - Entity with value('CL020969') does not exist
25/07/2024 10:52:12 - Erro: #71º - Entity with value('CL020970') does not exist
25/07/2024 10:52:12 - Erro: #71º - Entity with value('CL020970') does not exist
25/07/2024 10:52:12 - Erro: #72º - Entity with value('CL020971') does not exist
25/07/2024 10:52:12 - Erro: #72º - Entity with value('CL020971') does not exist
25/07/2024 10:52:12 - Erro: #73º - Entity with value('CL020972') does not exist
25/07/2024 10:52:12 - Erro: #73º - Entity with value('CL020972') does not exist
25/07/2024 10:52:12 - Erro: #74º - Entity with value('CL020973') does not exist
25/07/2024 10:52:12 - Erro: #74º - Entity with value('CL020973') does not exist
25/07/2024 10:52:12 - Erro: #75º - Entity with value('CL020974') does not exist
25/07/2024 10:52:12 - Erro: #75º - Entity with value('CL020974') does not exist
25/07/2024 10:52:12 - Erro: #76º - Entity with value('CL020980') does not exist
25/07/2024 10:52:12 - Erro: #76º - Entity with value('CL020980') does not exist
25/07/2024 10:52:12 - Erro: #77º - Entity with value('CL020981') does not exist
25/07/2024 10:52:12 - Erro: #77º - Entity with value('CL020981') does not exist
25/07/2024 10:52:12 - Erro: #78º - Entity with value('CL020984') does not exist
25/07/2024 10:52:12 - Erro: #78º - Entity with value('CL020984') does not exist
25/07/2024 10:52:12 - Erro: #79º - Entity with value('CL020986') does not exist
25/07/2024 10:52:12 - Erro: #79º - Entity with value('CL020986') does not exist
25/07/2024 10:52:13 - Erro: #80º - Entity with value('CL020987') does not exist
25/07/2024 10:52:13 - Erro: #80º - Entity with value('CL020987') does not exist
25/07/2024 10:52:13 - Erro: #81º - Entity with value('CL020990') does not exist
25/07/2024 10:52:13 - Erro: #81º - Entity with value('CL020990') does not exist
25/07/2024 10:52:13 - Erro: #82º - Entity with value('CL020994') does not exist
25/07/2024 10:52:13 - Erro: #82º - Entity with value('CL020994') does not exist
25/07/2024 10:52:13 - Erro: #83º - Entity with value('CL020995') does not exist
25/07/2024 10:52:13 - Erro: #83º - Entity with value('CL020995') does not exist
25/07/2024 10:52:13 - Erro: #84º - Entity with value('CL021016') does not exist
25/07/2024 10:52:13 - Erro: #84º - Entity with value('CL021016') does not exist
25/07/2024 10:52:13 - Erro: #85º - Entity with value('CL021087') does not exist
25/07/2024 10:52:13 - Erro: #85º - Entity with value('CL021087') does not exist
25/07/2024 10:52:13 - Erro: #86º - Entity with value('CL021106') does not exist
25/07/2024 10:52:13 - Erro: #86º - Entity with value('CL021106') does not exist
25/07/2024 10:52:13 - Erro: #87º - Entity with value('CL021116') does not exist
25/07/2024 10:52:13 - Erro: #87º - Entity with value('CL021116') does not exist
25/07/2024 10:52:13 - Erro: #88º - Entity with value('CL021120') does not exist
25/07/2024 10:52:13 - Erro: #88º - Entity with value('CL021120') does not exist
25/07/2024 10:52:13 - Erro: #89º - Entity with value('CL021198') does not exist
25/07/2024 10:52:13 - Erro: #89º - Entity with value('CL021198') does not exist
25/07/2024 10:52:13 - Erro: #90º - Entity with value('CL021199') does not exist
25/07/2024 10:52:13 - Erro: #90º - Entity with value('CL021199') does not exist
25/07/2024 10:52:13 - Erro: #91º - Entity with value('CL021200') does not exist
25/07/2024 10:52:13 - Erro: #91º - Entity with value('CL021200') does not exist
25/07/2024 10:52:13 - Erro: #92º - Entity with value('CL021209') does not exist
25/07/2024 10:52:13 - Erro: #92º - Entity with value('CL021209') does not exist
25/07/2024 10:52:13 - Erro: #93º - Entity with value('CL021214') does not exist
25/07/2024 10:52:13 - Erro: #93º - Entity with value('CL021214') does not exist
25/07/2024 10:52:13 - Erro: #94º - Entity with value('CL021294') does not exist
25/07/2024 10:52:13 - Erro: #94º - Entity with value('CL021294') does not exist
25/07/2024 10:52:13 - Erro: #95º - Entity with value('CL021382') does not exist
25/07/2024 10:52:13 - Erro: #95º - Entity with value('CL021382') does not exist
25/07/2024 10:52:14 - Erro: #96º - Entity with value('CL021383') does not exist
25/07/2024 10:52:14 - Erro: #96º - Entity with value('CL021383') does not exist
25/07/2024 10:52:14 - Erro: #97º - Entity with value('CL021395') does not exist
25/07/2024 10:52:14 - Erro: #97º - Entity with value('CL021395') does not exist
25/07/2024 10:52:14 - Erro: #98º - Entity with value('CL021465') does not exist
25/07/2024 10:52:14 - Erro: #98º - Entity with value('CL021465') does not exist
25/07/2024 10:52:14 - Erro: #99º - Entity with value('CL021468') does not exist
25/07/2024 10:52:14 - Erro: #99º - Entity with value('CL021468') does not exist
25/07/2024 10:52:14 - Erro: #100º - Entity with value('CL021470') does not exist
25/07/2024 10:52:14 - Erro: #100º - Entity with value('CL021470') does not exist
25/07/2024 10:52:14 - Erro: #101º - Entity with value('CL021473') does not exist
25/07/2024 10:52:14 - Erro: #101º - Entity with value('CL021473') does not exist
25/07/2024 10:52:14 - Erro: #102º - Entity with value('CL021475') does not exist
25/07/2024 10:52:14 - Erro: #102º - Entity with value('CL021475') does not exist
25/07/2024 10:52:14 - Erro: #103º - Entity with value('CL021522') does not exist
25/07/2024 10:52:14 - Erro: #103º - Entity with value('CL021522') does not exist
25/07/2024 10:52:14 - Erro: #104º - Entity with value('CL021820') does not exist
25/07/2024 10:52:14 - Erro: #104º - Entity with value('CL021820') does not exist
25/07/2024 10:52:14 - Erro: #105º - Entity with value('CL021821') does not exist
25/07/2024 10:52:14 - Erro: #105º - Entity with value('CL021821') does not exist
25/07/2024 10:52:14 - Erro: #106º - Entity with value('CL021824') does not exist
25/07/2024 10:52:14 - Erro: #106º - Entity with value('CL021824') does not exist
25/07/2024 10:52:14 - Erro: #107º - Entity with value('CL021827') does not exist
25/07/2024 10:52:14 - Erro: #107º - Entity with value('CL021827') does not exist
25/07/2024 10:52:14 - Erro: #108º - Entity with value('CL021926') does not exist
25/07/2024 10:52:14 - Erro: #108º - Entity with value('CL021926') does not exist
25/07/2024 10:52:14 - Erro: #109º - Entity with value('CL021939') does not exist
25/07/2024 10:52:14 - Erro: #109º - Entity with value('CL021939') does not exist
25/07/2024 10:52:15 - Erro: #110º - Entity with value('CL021940') does not exist
25/07/2024 10:52:15 - Erro: #110º - Entity with value('CL021940') does not exist
25/07/2024 10:52:15 - Erro: #111º - Entity with value('CL021996') does not exist
25/07/2024 10:52:15 - Erro: #111º - Entity with value('CL021996') does not exist
25/07/2024 10:52:15 - Erro: #112º - Entity with value('CL022084') does not exist
25/07/2024 10:52:15 - Erro: #112º - Entity with value('CL022084') does not exist
25/07/2024 10:52:15 - Erro: #113º - Entity with value('CL022085') does not exist
25/07/2024 10:52:15 - Erro: #113º - Entity with value('CL022085') does not exist
25/07/2024 10:52:15 - Erro: #114º - Entity with value('CL022146') does not exist
25/07/2024 10:52:15 - Erro: #114º - Entity with value('CL022146') does not exist
25/07/2024 10:52:15 - Erro: #115º - Entity with value('CL022313') does not exist
25/07/2024 10:52:15 - Erro: #115º - Entity with value('CL022313') does not exist
25/07/2024 10:52:15 - Erro: #116º - Entity with value('CL022315') does not exist
25/07/2024 10:52:15 - Erro: #116º - Entity with value('CL022315') does not exist
25/07/2024 10:52:15 - Erro: #117º - Entity with value('CL022386') does not exist
25/07/2024 10:52:15 - Erro: #117º - Entity with value('CL022386') does not exist
25/07/2024 10:52:15 - Erro: #118º - Entity with value('CL022480') does not exist
25/07/2024 10:52:15 - Erro: #118º - Entity with value('CL022480') does not exist
25/07/2024 10:52:15 - Erro: #119º - Entity with value('CL022484') does not exist
25/07/2024 10:52:15 - Erro: #119º - Entity with value('CL022484') does not exist
25/07/2024 10:52:15 - Erro: #120º - Entity with value('CL022527') does not exist
25/07/2024 10:52:15 - Erro: #120º - Entity with value('CL022527') does not exist
25/07/2024 10:52:15 - Erro: #121º - Entity with value('CL022601') does not exist
25/07/2024 10:52:15 - Erro: #121º - Entity with value('CL022601') does not exist
25/07/2024 10:52:15 - Erro: #122º - Entity with value('CL022603') does not exist
25/07/2024 10:52:15 - Erro: #122º - Entity with value('CL022603') does not exist
25/07/2024 10:52:15 - Erro: #123º - Entity with value('CL022604') does not exist
25/07/2024 10:52:15 - Erro: #123º - Entity with value('CL022604') does not exist
25/07/2024 10:52:15 - Erro: #124º - Entity with value('CL022605') does not exist
25/07/2024 10:52:15 - Erro: #124º - Entity with value('CL022605') does not exist
25/07/2024 10:52:15 - Erro: #125º - Entity with value('CL022786') does not exist
25/07/2024 10:52:15 - Erro: #125º - Entity with value('CL022786') does not exist
25/07/2024 10:52:15 - Erro: #126º - Entity with value('CL022788') does not exist
25/07/2024 10:52:15 - Erro: #126º - Entity with value('CL022788') does not exist
25/07/2024 10:52:16 - Erro: #127º - Entity with value('CL022791') does not exist
25/07/2024 10:52:16 - Erro: #127º - Entity with value('CL022791') does not exist
25/07/2024 10:52:16 - Erro: #128º - Entity with value('CL022796') does not exist
25/07/2024 10:52:16 - Erro: #128º - Entity with value('CL022796') does not exist
25/07/2024 10:52:16 - Erro: #129º - Entity with value('CL022974') does not exist
25/07/2024 10:52:16 - Erro: #129º - Entity with value('CL022974') does not exist
25/07/2024 10:52:16 - Erro: #130º - Entity with value('CL022976') does not exist
25/07/2024 10:52:16 - Erro: #130º - Entity with value('CL022976') does not exist
25/07/2024 10:52:16 - Erro: #131º - Entity with value('CL022995') does not exist
25/07/2024 10:52:16 - Erro: #131º - Entity with value('CL022995') does not exist
25/07/2024 10:52:16 - Erro: #132º - Entity with value('CL023002') does not exist
25/07/2024 10:52:16 - Erro: #132º - Entity with value('CL023002') does not exist
25/07/2024 10:52:16 - Erro: #133º - Entity with value('CL023149') does not exist
25/07/2024 10:52:16 - Erro: #133º - Entity with value('CL023149') does not exist
